,Seven_Day_Total,Theaters,Distributor,runtime,release_date,budget,keywords_count,log_total_marketing_assets,director_weighted_rating,weekend_release,is_holiday,holiday_type,spoken_languages_iso,same_release_date_count,same_day_competitors,has_same_day_competitor,month_sin,month_cos,budget_log,cast_top5_popularity_sum_log,is_franchise,franchise_size,franchise_size_log,installment_number,is_sequel,keywords_count_log,kw_superhero,kw_animation,kw_horror,kw_romance,kw_family,kw_biopic,kw_fantasy_scifi,kw_action_adventure,kw_crime_thriller,kw_comedy_drama,genres_norm,num_genres,num_production_companies,has_major_studio,num_prodcos_log,mpaa_std,is_US,is_China,is_India,num_countries
1529,9500000.0,1200.0,sarigama cinemas,185.0,2022-03-24,69000000.0,15.0,4.882801922586371,7.612580817610062,0,0,none,"['en', 'te']",2,1,1,0.8660254,0.5,18.049617077054286,2.1356682716371136,0,0,0.0,0,0,2.772588722239781,0,0,0,0,0,0,0,0,0,0,action|adventure|drama,3,1,0,0.6931472,Unrated,0,0,1,1
1530,557755.0,120.0,reliance big pictures,138.0,2010-06-18,4200000.0,14.0,2.70805020110221,6.68763184079602,1,0,none,['hi'],4,3,1,0.5,-0.8660254,15.250595321348806,2.0354504684299246,0,0,0.0,0,0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,action|adventure|crime|drama|romance|thriller,6,2,0,1.0986123,R,0,0,1,1
1531,377000.0,133.0,prime media pictures,143.0,2024-07-26,11900000.0,1.0,4.770684624465665,6.665131615650004,1,0,none,['ta'],1,0,0,1.2246469e-16,-1.0,16.29204904211537,2.228615572793871,0,0,0.0,0,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,action|drama|thriller,3,1,0,0.6931472,R,0,0,1,1
1532,161678.0,5.0,lionsgate,91.0,2010-12-16,5000000.0,12.0,4.2626798770413155,6.402550335570471,0,0,none,['en'],2,1,1,-0.5,0.8660254,15.424948670398354,2.815103283560368,0,0,0.0,0,0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0,drama,1,3,0,1.3862944,PG-13,1,0,0,1
1533,161678.0,5.0,lionsgate,91.0,2010-12-16,5000000.0,12.0,3.091042453358316,6.402550335570471,0,0,none,['en'],2,1,1,-0.5,0.8660254,15.424948670398354,3.003373008649944,0,0,0.0,0,0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0,drama,1,3,0,1.3862944,PG-13,1,0,0,1
1534,9589622.0,2369.0,focus features,134.0,2016-02-19,5000000.0,14.0,4.2626798770413155,6.723283004552353,1,0,none,"['de', 'en']",4,3,1,0.5,0.8660254,15.424948670398354,2.088401283051308,0,0,0.0,0,0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,drama|history,2,7,0,2.0794415,Unrated,0,0,0,2
1535,326059.0,86.0,entertainment one,90.0,2018-12-07,3000000.0,0.0,3.5263605246161616,6.1,1,0,none,['fr'],3,2,1,-0.5,0.8660254,14.914123179965662,1.0621903220341422,1,2,1.0986123,1,0,0.0,0,0,0,0,0,0,0,0,0,0,adventure|animation|comedy|family,4,1,0,0.6931472,G,0,0,0,1
1536,3457758.0,419.0,pantelion films,126.0,2023-10-19,10000000.0,4.0,3.6375861597263857,8.000223034734919,0,0,none,['es'],2,1,1,-1.0,-1.8369701e-16,16.118095750958314,1.3460711456290197,0,0,0.0,0,0,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,drama,1,4,0,1.609438,Unrated,1,0,0,2
1537,2622832.0,265.0,zee cinema,143.0,2017-01-25,46000000.0,3.0,3.2188758248682006,6.659,0,0,none,['hi'],1,0,0,0.0,1.0,17.6441519761925,1.9794692611528735,0,0,0.0,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,action|crime|thriller,3,2,0,1.0986123,R,0,0,1,1
1538,120259.0,73.0,utv motion pictures,141.0,2014-08-29,5.0,0.0,2.302585092994046,6.665131615650004,1,0,none,['hi'],1,0,0,-0.5,-0.8660254,1.791759469228055,1.503277076605505,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,crime|drama|mystery|thriller,4,1,0,0.6931472,PG-13,0,0,1,1
1539,90237295.0,4017.0,walt disney studios motion pictures,112.0,2018-11-20,175000000.0,9.0,4.1588830833596715,7.344538018818755,0,1,thanksgiving,['en'],1,0,0,-0.8660254,0.5,18.980296537602072,2.942653175040697,1,2,1.0986123,2,1,2.302585092994046,0,0,0,0,0,0,0,0,0,0,adventure|animation|comedy|family,4,1,1,0.6931472,PG,1,0,0,1
1540,24575810.0,3618.0,lionsgate,89.0,2019-09-18,50000000.0,12.0,4.23410650459726,6.463693972179289,0,0,none,"['en', 'es']",2,1,1,-0.8660254,-0.5,17.72753358339242,2.7648967144544065,1,5,1.7917595,1,0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0,action|drama|thriller,3,5,0,1.7917595,R,1,1,0,2
