imdb_id,title,original_title,tagline,original_language,runtime,release_date,budget,revenue,popularity,release_year,spoken_languages,genres,production_companies,production_countries,collection_id,collection_name,collection_total_parts,collection_total_revenue,cast_top5_names,cast_top5_popularity_sum,directors,writers,producers,keywords,keywords_count,certification,num_trailers,num_teasers,num_featurettes,num_clips,num_posters,num_backdrops,tmdb_id,director_weighted_rating,Theaters,Distributor
tt1757678,Avatar: Fire and Ash,Avatar: Fire and Ash,The world of Pandora will change forever.,en,195,12/17/2025,400000000,0,121.0001,2025,English,"Adventure, Fantasy, Science Fiction","20th Century Studios, Lightstorm Entertainment, TSG Entertainment",United States of America,87096,Avatar Collection,5,5276802279,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",25.6804,James Cameron,"Amanda Silver, James Cameron, Josh Friedman, Rick Jaffa, Shane Salerno","Brigitte Yorke, David Valdes, James Cameron, Jamie Landau, Jon Landau, Maria Battle-Campbell, Peter M. Tobyansen, Rae Sanchini, Richard Baneham","admiring, amused, family, sequel",4,PG-13,2,12,11,1,203,107,83533,7.61,3800,20th Century Studios
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
